new entry "CREATURE_SPORE_SERVANT"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "hfd9805e4g49ecg6878g43b1g452dd4c204f7;1"
data "Description" "hb1071a47g72a9g6657g4c96g18646f65c374;1"
data "Icon" "Action_Glut_RaiseDeadViaSpores"
data "MeshEffect" "FadeIn:0;FadeOut:0;V:[7a66f0e14c66bd94b7b199615892293c,8ee0efee2669a2d3b090071abbdf3870,40f3e03236f12c394098ed3b35bc1dd0,2e620199b8a9a985b098808970e9896a,91802c9b9824f7c692db863803e4108d,4211dd2568815fb22936a6d6111abe54,89ef5aad2b9e34c369a65aafc298494f,a273ac9d5767d741f630b0c29a7975e9,da549999f6e6bd54eeb1777fa5dfde74,81f3f2813ff134a210c977c86ae956f3,09b013c5e9744a435857f4aa9c399fe5,94d5176d6c4dce9c018f8393bd4f2a64,f2335f17e47d7b29ccac05bb31df76a8,0f0f22e0fe636d3da6b70aa3f4a6ab42,27cf626edd8339f6e40274791dbfd66a];VI:[0,1,2,2,3,2,0,0,4,5,6,7,7,8,9,10,1,11,12,13,14];S:[044ab023707677e673c2d0f26fca0776,e7b96b01af9c835be6b5f1a75f7b538b,5cbf9a7de4503ad965a8fc2a3cb05abe,edda91cdd2be3296087c45477f36daaa,957ba88314f85b2d6d5feb9c9ed61584,3c9f70925cf24ec8f9741b81a70f47da,af214a4332fd7b8183050e1568a7099d,58047479d2b93711574871c5490bc083,6baabc59f5c840ada911c3348e009dfa,24db7c92bc91a74435002ac4377f1132,6cd52578f3abb6de88e20a99b8889f87,4048939cda3767f8cb3f9d8b392ba84e,831fd72bb887d8fe50b47cf8b376ad28,26b5486dfc27592a44f4422eb7f0231e,0e2e85b3320cc27ad9b2bd853759dab6,aefea06b163c6dfc29939cf8ee9895f1,c9a28d636d55a645e521ccb11bcd1513,00802469021a737a54743aab21956990,3c22df5631dc713a9514dbd639d3fe89,2ae5ddc9025880fc4c575f22a2b3a6b1,9ebd420dde6c6ea456e15c8b148e9093];SI:[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20];"
data "Boosts" "StatusImmunity(TIMMASK_SPORES);StatusImmunity(BIBBERBANG_FUMES); Tag(PLANT); FactionOverride(Source); Tag(CREATURE_SPORE_SERVANT); StatusImmunity(SLEEPING);StatusImmunity(SLEEP); StatusImmunity(UNCONSCIOUS); StatusImmunity(HIDEOUS_LAUGHTER); StatusImmunity(CHARMED); StatusImmunity(FRIENDS); StatusImmunity(CROWN_OF_MADNESS); StatusImmunity(MIND_MASTERY); StatusImmunity(SG_Frightened); StatusImmunity(SG_Blinded); StatusImmunity(PARALYZED); StatusImmunity(HOLD_PERSON); Resistance(Poison, Resistant)"
data "StatusPropertyFlags" "DisableCombatlog;DisableOverhead;ApplyToDead;IgnoreResting"
data "OnApplyFunctors" "Resurrect(100,65);"
data "StatusGroups" "SG_Condition"
data "StatusEffect" "1eed3d7d-964a-4364-a075-d4242555ae6c"

